order_id,product_id,store_id
1000,P0213,S0062
1001,P0125,S0001
1002,P0175,S0026
1003,P0406,S0132
1004,P0356,S0054
1005,P0280,S0040
1006,P0679,S0019
1007,P0024,S0085
1008,P0267,S0026
1009,P0665,S0085
1010,P0018,S0085
1011,P0664,S0068
1012,P0348,S0066
1013,P0185,S0108
1014,P0195,S0091
1015,P0705,S0107
1016,P0420,S0138
1017,P0372,S0113
1018,P0351,S0062
1019,P0070,S0104
1020,P0712,S0008
1021,P0556,S0115
1022,P0325,S0051
1023,P0390,S0066
1024,P0642,S0054
1025,P0070,S0123
1026,P0412,S0137
1027,P0018,S0052
1028,P0205,S0056
1029,P0067,S0122
1030,P0325,S0089
1031,P0642,S0102
1032,P0737,S0066
1033,P0572,S0034
1034,P0656,S0108
1035,P0260,S0116
1036,P0372,S0127
1037,P0389,S0024
1038,P0640,S0117
1039,P0642,S0016
1040,P0470,S0025
1041,P0417,S0031
1042,P0613,S0106
1043,P0275,S0122
1044,P0446,S0055
1045,P0664,S0095
1046,P0067,S0082
1047,P0054,S0038
1048,P0018,S0020
1049,P0590,S0066
1050,P0453,S0123
1051,P0500,S0015
1052,P0356,S0106
1053,P0055,S0124
1054,P0408,S0043
1055,P0351,S0131
1056,P0261,S0139
1057,P0103,S0139
1058,P0249,S0002
1059,P0726,S0029
1060,P0147,S0104
1061,P0639,S0032
1062,P0070,S0095
1063,P0394,S0045
1064,P0590,S0117
1065,P0212,S0113
1066,P0103,S0083
1067,P0356,S0078
1068,P0459,S0056
1069,P0327,S0138
1070,P0286,S0033
1071,P0611,S0126
1072,P0415,S0115
1073,P0694,S0032
1074,P0051,S0053
1075,P0311,S0068
1076,P0185,S0087
1077,P0325,S0021
1078,P0175,S0137
1079,P0446,S0023
1080,P0162,S0132
1081,P0642,S0003
1082,P0406,S0115
1083,P0453,S0020
1084,P0485,S0066
1085,P0453,S0034
1086,P0572,S0058
1087,P0062,S0087
1088,P0055,S0031
1089,P0264,S0142
1090,P0356,S0038
1091,P0125,S0006
1092,P0412,S0015
1093,P0225,S0051
1094,P0427,S0117
1095,P0691,S0001
1096,P0132,S0070
1097,P0590,S0142
1098,P0079,S0062
1099,P0458,S0078
1100,P0051,S0044
1101,P0280,S0066
1102,P0534,S0020
1103,P0663,S0025
1104,P0134,S0040
1105,P0673,S0002
1106,P0148,S0117
1107,P0001,S0050
1108,P0297,S0126
1109,P0435,S0106
1110,P0195,S0105
1111,P0364,S0021
1112,P0055,S0132
1113,P0436,S0009
1114,P0252,S0002
1115,P0057,S0043
1116,P0114,S0067
1117,P0249,S0138
1118,P0046,S0139
1119,P0608,S0131
1120,P0400,S0049
1121,P0280,S0052
1122,P0201,S0002
1123,P0196,S0049
1124,P0004,S0085
1125,P0399,S0001
1126,P0249,S0023
1127,P0427,S0008
1128,P0390,S0095
1129,P0506,S0085
1130,P0279,S0096
1131,P0658,S0031
1132,P0435,S0088
1133,P0195,S0102
1134,P0587,S0026
1135,P0252,S0066
1136,P0083,S0070
1137,P0664,S0102
1138,P0664,S0025
1139,P0070,S0058
1140,P0454,S0045
1141,P0665,S0002
1142,P0140,S0013
1143,P0417,S0110
1144,P0336,S0026
1145,P0277,S0132
1146,P0436,S0004
1147,P0536,S0032
1148,P0185,S0087
1149,P0673,S0035
1150,P0427,S0056
1151,P0150,S0097
1152,P0639,S0115
1153,P0572,S0126
1154,P0608,S0023
1155,P0356,S0026
1156,P0390,S0027
1157,P0070,S0113
1158,P0718,S0106
1159,P0681,S0028
1160,P0703,S0038
1161,P0171,S0062
1162,P0602,S0038
1163,P0286,S0091
1164,P0481,S0041
1165,P0718,S0056
1166,P0664,S0124
1167,P0051,S0125
1168,P0470,S0142
1169,P0241,S0052
1170,P0361,S0056
1171,P0298,S0123
1172,P0639,S0141
1173,P0390,S0143
1174,P0439,S0040
1175,P0679,S0110
1176,P0219,S0108
1177,P0660,S0078
1178,P0651,S0012
1179,P0490,S0102
1180,P0506,S0051
1181,P0399,S0123
1182,P0707,S0062
1183,P0625,S0031
1184,P0372,S0094
1185,P0137,S0020
1186,P0639,S0070
1187,P0134,S0139
1188,P0241,S0008
1189,P0438,S0126
1190,P0116,S0099
1191,P0116,S0011
1192,P0212,S0115
1193,P0572,S0139
1194,P0527,S0051
1195,P0690,S0043
1196,P0325,S0131
1197,P0280,S0094
1198,P0090,S0110
1199,P0171,S0130
1200,P0511,S0085
1201,P0712,S0063
1202,P0536,S0012
1203,P0356,S0011
1204,P0035,S0055
1205,P0453,S0078
1206,P0438,S0139
1207,P0415,S0020
1208,P0556,S0043
1209,P0129,S0035
1210,P0172,S0030
1211,P0110,S0125
1212,P0237,S0115
1213,P0229,S0115
1214,P0144,S0066
1215,P0213,S0115
1216,P0351,S0131
1217,P0252,S0062
1218,P0051,S0083
1219,P0345,S0058
1220,P0066,S0097
1221,P0333,S0105
1222,P0413,S0139
1223,P0185,S0125
1224,P0453,S0126
1225,P0574,S0060
1226,P0275,S0083
1227,P0664,S0045
1228,P0223,S0035
1229,P0704,S0050
1230,P0660,S0144
1231,P0664,S0023
1232,P0099,S0120
1233,P0162,S0023
1234,P0602,S0143
1235,P0297,S0067
1236,P0664,S0014
1237,P0370,S0043
1238,P0283,S0022
1239,P0286,S0113
1240,P0726,S0004
1241,P0249,S0084
1242,P0340,S0097
1243,P0525,S0073
1244,P0425,S0050
1245,P0425,S0067
1246,P0348,S0045
1247,P0348,S0086
1248,P0681,S0077
1249,P0437,S0028
1250,P0671,S0045
1251,P0198,S0051
1252,P0425,S0144
1253,P0491,S0040
1254,P0336,S0110
1255,P0470,S0070
1256,P0425,S0097
1257,P0129,S0053
1258,P0611,S0106
1259,P0263,S0043
1260,P0171,S0056
1261,P0147,S0132
1262,P0639,S0083
1263,P0206,S0086
1264,P0311,S0106
1265,P0171,S0040
1266,P0261,S0138
1267,P0584,S0110
1268,P0296,S0003
1269,P0237,S0062
1270,P0664,S0087
1271,P0413,S0026
1272,P0655,S0002
1273,P0260,S0099
1274,P0435,S0024
1275,P0671,S0088
1276,P0005,S0013
1277,P0569,S0116
1278,P0389,S0073
1279,P0017,S0045
1280,P0103,S0049
1281,P0268,S0097
1282,P0572,S0088
1283,P0614,S0078
1284,P0116,S0099
1285,P0377,S0096
1286,P0024,S0051
1287,P0681,S0110
1288,P0412,S0013
1289,P0614,S0135
1290,P0613,S0051
1291,P0437,S0040
1292,P0251,S0085
1293,P0527,S0024
1294,P0651,S0107
1295,P0258,S0138
1296,P0726,S0023
1297,P0637,S0110
1298,P0400,S0008
1299,P0348,S0144
1300,P0051,S0003
1301,P0241,S0095
1302,P0297,S0001
1303,P0054,S0020
1304,P0178,S0065
1305,P0283,S0073
1306,P0524,S0001
1307,P0499,S0128
1308,P0397,S0082
1309,P0054,S0106
1310,P0448,S0139
1311,P0551,S0091
1312,P0735,S0104
1313,P0219,S0062
1314,P0454,S0038
1315,P0425,S0024
1316,P0582,S0002
1317,P0327,S0104
1318,P0148,S0067
1319,P0704,S0107
1320,P0297,S0049
1321,P0690,S0106
1322,P0229,S0142
1323,P0657,S0142
1324,P0639,S0142
1325,P0435,S0110
1326,P0420,S0020
1327,P0454,S0062
1328,P0390,S0058
1329,P0201,S0080
1330,P0226,S0038
1331,P0382,S0095
1332,P0103,S0110
1333,P0260,S0045
1334,P0286,S0082
1335,P0652,S0110
1336,P0332,S0008
1337,P0336,S0144
1338,P0035,S0135
1339,P0162,S0020
1340,P0311,S0135
1341,P0691,S0095
1342,P0017,S0004
1343,P0132,S0139
1344,P0165,S0110
1345,P0590,S0105
1346,P0277,S0103
1347,P0732,S0085
1348,P0705,S0066
1349,P0114,S0141
1350,P0408,S0010
1351,P0471,S0060
1352,P0473,S0062
1353,P0639,S0034
1354,P0333,S0094
1355,P0099,S0015
1356,P0590,S0094
1357,P0260,S0003
1358,P0490,S0040
1359,P0690,S0050
1360,P0229,S0107
1361,P0212,S0108
1362,P0663,S0122
1363,P0348,S0050
1364,P0514,S0058
1365,P0325,S0026
1366,P0490,S0070
1367,P0453,S0058
1368,P0436,S0038
1369,P0282,S0110
1370,P0510,S0020
1371,P0658,S0054
1372,P0473,S0082
1373,P0525,S0025
1374,P0001,S0125
1375,P0510,S0104
1376,P0051,S0018
1377,P0059,S0093
1378,P0694,S0030
1379,P0453,S0124
1380,P0681,S0063
1381,P0372,S0014
1382,P0260,S0123
1383,P0690,S0055
1384,P0639,S0103
1385,P0660,S0108
1386,P0735,S0056
1387,P0682,S0080
1388,P0171,S0108
1389,P0412,S0083
1390,P0459,S0138
1391,P0665,S0033
1392,P0499,S0144
1393,P0148,S0123
1394,P0438,S0026
1395,P0666,S0020
1396,P0453,S0142
1397,P0206,S0095
1398,P0402,S0085
1399,P0327,S0138
1400,P0177,S0110
1401,P0726,S0099
1402,P0454,S0073
1403,P0536,S0143
1404,P0205,S0056
1405,P0079,S0104
1406,P0057,S0085
1407,P0051,S0038
1408,P0437,S0088
1409,P0587,S0091
1410,P0279,S0117
1411,P0099,S0102
1412,P0241,S0062
1413,P0092,S0139
