order_id,order_date,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
40911,1/1/2019,1-Jan-19,0,0,3,124.99,PR14,,PR03,,NA
40912,1/1/2019,1-Jan-19,0,0,4,3.25,PR03,verylow,PR03,,NA
40913,1/1/2019,1-Jan-19,0,0,12,4.25,PR14,,PR03,,NA
40914,1/1/2019,1-Jan-19,0,0,24,4.9,PR14,,PR03,,NA
40915,1/1/2019,1-Jan-19,2,7.41,11,4,PR14,,PR03,,NA
40916,1/1/2019,1-Jan-19,0,0,71,1.45,PR14,,PR03,,NA
40917,1/1/2019,1-Jan-19,3,83.19,4,29.95,PR14,,PR03,,NA
40918,1/1/2019,1-Jan-19,0,0,5,15.9,PR14,,PR03,,NA
40919,1/1/2019,1-Jan-19,0,0,7,3.25,PR03,verylow,PR03,,NA
40920,1/1/2019,1-Jan-19,0,0,8,12,PR14,,PR03,,NA
40921,1/1/2019,1-Jan-19,0,0,4,5.5,PR14,,PR03,,NA
40922,1/1/2019,1-Jan-19,0,0,26,0.9,PR14,,PR03,,NA
40923,1/1/2019,1-Jan-19,0,0,60,5.75,PR14,,PR03,,NA
40924,1/1/2019,1-Jan-19,0,0,24,2.75,PR14,,PR03,,NA
40925,1/1/2019,1-Jan-19,0,0,43,4.1,PR14,,PR03,,NA
40926,1/1/2019,1-Jan-19,0,0,8,2.75,PR14,,PR03,,NA
40927,1/1/2019,1-Jan-19,0,0,1,2.25,PR14,,PR03,,NA
40928,1/1/2019,1-Jan-19,1,4.15,16,4.9,PR14,,PR03,,NA
40929,1/1/2019,1-Jan-19,0,0,10,59.9,PR14,,PR03,,NA
40930,1/1/2019,1-Jan-19,0,0,3,5.45,PR14,,PR03,,NA
40931,1/1/2019,1-Jan-19,0,0,11,49.9,PR03,verylow,PR03,,NA
40932,1/1/2019,1-Jan-19,0,0,4,19.9,PR14,,PR03,,NA
40933,1/1/2019,1-Jan-19,0,0,1,4,PR14,,PR03,,NA
40934,1/1/2019,1-Jan-19,0,0,5,2,PR14,,PR03,,NA
40935,1/1/2019,1-Jan-19,0,0,11,28.9,PR14,,PR03,,NA
40936,1/1/2019,1-Jan-19,0,0,4,10.95,PR05,verylow,PR03,,NA
40937,1/1/2019,1-Jan-19,0,0,13,18.95,PR14,,PR03,,NA
40938,1/1/2019,1-Jan-19,0,0,29,1,PR14,,PR03,,NA
40939,1/1/2019,1-Jan-19,0,0,18,26.5,PR14,,PR03,,NA
40940,1/1/2019,1-Jan-19,0,0,4,21.9,PR14,,PR03,,NA
40941,1/1/2019,1-Jan-19,0,0,12,0.75,PR14,,PR03,,NA
40942,1/1/2019,1-Jan-19,0,0,2,44.9,PR14,,PR03,,NA
40943,1/1/2019,1-Jan-19,0,0,4,5.75,PR05,moderate,PR03,,NA
40944,1/1/2019,1-Jan-19,0,0,15,10,PR03,verylow,PR03,,NA
40945,1/1/2019,1-Jan-19,0,0,5,12.9,PR14,,PR03,,NA
40946,1/1/2019,1-Jan-19,0,0,41,3.1,PR14,,PR03,,NA
40947,1/1/2019,1-Jan-19,0,0,1,229.9,PR03,verylow,PR03,,NA
40948,1/1/2019,1-Jan-19,0,0,2,15.9,PR14,,PR03,,NA
40949,1/1/2019,1-Jan-19,0,0,18,6.5,PR17,veryhigh,PR03,,NA
40950,1/1/2019,1-Jan-19,0,0,1,1.5,PR14,,PR03,,NA
40951,1/1/2019,1-Jan-19,0,0,7,14.45,PR14,,PR03,,NA
40952,1/1/2019,1-Jan-19,0,0,12,49.9,PR05,veryhigh,PR03,,NA
40953,1/1/2019,1-Jan-19,0,0,8,33.9,PR14,,PR03,,NA
40954,1/1/2019,1-Jan-19,0,0,11,4.5,PR14,,PR03,,NA
40955,1/1/2019,1-Jan-19,0,0,32,0.9,PR14,,PR03,,NA
40956,1/1/2019,1-Jan-19,0,0,7,15.9,PR14,,PR03,,NA
40957,1/1/2019,1-Jan-19,0,0,10,51.9,PR14,,PR03,,NA
40958,1/1/2019,1-Jan-19,0,0,7,8.5,PR14,,PR03,,NA
40959,1/1/2019,1-Jan-19,0,0,2,22.9,PR17,veryhigh,PR03,,NA
40960,1/1/2019,1-Jan-19,0,0,7,8.9,PR14,,PR03,,NA
40961,1/1/2019,1-Jan-19,0,0,9,179.9,PR05,verylow,PR03,,NA
40962,1/1/2019,1-Jan-19,0,0,11,24.95,PR14,,PR03,,NA
40963,1/1/2019,1-Jan-19,1,13.47,4,15.9,PR14,,PR03,,NA
40964,1/1/2019,1-Jan-19,0,0,6,7.9,PR14,,PR03,,NA
40965,1/1/2019,1-Jan-19,1,1,1,1,PR14,,PR03,,NA
40966,1/1/2019,1-Jan-19,0,0,17,9.95,PR14,,PR03,,NA
40967,1/1/2019,1-Jan-19,0,0,12,8.9,PR14,,PR03,,NA
40968,1/1/2019,1-Jan-19,0,0,7,17.9,PR05,low,PR03,,NA
40969,1/1/2019,1-Jan-19,0,0,14,49.95,PR14,,PR03,,NA
40970,1/1/2019,1-Jan-19,0,0,8,4.9,PR14,,PR03,,NA
40971,1/1/2019,1-Jan-19,0,0,15,19.9,PR03,verylow,PR03,,NA
40972,1/1/2019,1-Jan-19,0,0,9,25.95,PR14,,PR03,,NA
